,mean,variance,std
$\beta$ [mm/kN],0.007428049349535507,1.642008468616073e-07,0.0004052170367366201
$\sigma_{\eta}$ [mm],0.01199737599862963,2.900829075192406e-06,0.0017031820440553047
"$\lambda_{\eta,P}$ [kN]",14.316092437158996,4.578721999750903,2.139794849921577
"$\lambda_{\eta,\alpha}$ [rad]",1.794562609441214,0.026505847284138722,0.1628061647608552
"$\lambda_{\eta,E_1}$ [MPa]",70679.46148667292,118001685.37005246,10862.858066367822
"$\lambda_{\eta,E_2}$ [MPa]",19117.137141632105,45270294.788825475,6728.320354206202
"$\lambda_{\eta,\nu_{12}}$ [-]",1.1402630593204999,0.20457048469379852,0.4522946878903162
"$\lambda_{\eta,\nu_{23}}$ [-]",1.274551961931129,0.23297091390917682,0.48267060601322803
"$\lambda_{\eta,G_{12}}$ [GPa]",9271.040881897577,10624138.86311249,3259.4691075560895
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],0.00011822156465213727,3.903579135073568e-09,6.247862942697741e-05
